"sub","POA","token","syll_dur","v_dur","vot","Av","Ahi","max23","HiDiff","F23Diff"
16,3,7,0.3134,0.2763,0.0371,38,0.4,10.2,37.6,0.4
16,3,9,0.2898,0.2437,0.0461,36.4,0.7,10.5,35.7,0.7
16,2,3,0.2714,0.2434,0.028,51.2,1,7.5,50.2,1
16,1,3,0.3397,0.3229,0.0168,51.1,1.3,15.8,49.8,1.3
16,3,10,0.2968,0.2595,0.0373,32.3,1.6,10.5,30.7,1.6
16,2,4,0.2725,0.2582,0.0143,38.8,1.9,5.5,36.9,1.9
16,4,9,0.2107,0.1876,0.0231,32.9,2.3,3.2,30.6,2.3
20,3,86,0.439,0.387,0.052,34.1,12.8,31.8,21.3,2.3
16,3,11,0.2668,0.2273,0.0395,32.1,2.4,13.3,29.7,2.4
16,2,5,0.2297,0.2124,0.0173,40.8,2.9,-0.8,37.9,2.9
20,4,128,0.338,0.315,0.023,30.9,21.5,28,9.4,2.9
16,1,1,0.276,0.2648,0.0112,36.7,3,2.6,33.7,3
16,1,2,0.2773,0.2669,0.0104,36.8,3.7,10.8,33.1,3.7
16,2,20,0.2873,0.2651,0.0222,37.9,3.7,2.8,34.2,3.7
13,3,97,0.2287,0.1992,0.0295,46.6,-4.6,42.6,51.2,4
20,3,123,0.121,0.096,0.025,32.6,8.4,28.6,24.2,4
16,2,30,0.2733,0.2574,0.0159,38.7,5.1,5.8,33.6,5.1
16,4,25,0.1862,0.1731,0.0131,28.1,5.3,11.3,22.8,5.3
20,3,100,0.264,0.23,0.034,23.3,3.9,18,19.4,5.3
16,4,11,0.2421,0.2211,0.021,29,5.9,18.7,23.1,5.9
20,3,124,0.113,0.09,0.023,34.2,3.4,28,30.8,6.2
16,3,3,0.3097,0.2579,0.0518,38.9,6.6,25.2,32.3,6.6
20,3,87,0.388,0.342,0.046,30.3,12.7,23.6,17.6,6.7
16,4,23,0.1896,0.1776,0.012,30.2,6.8,6.4,23.4,6.8
16,3,1,0.3128,0.2547,0.0581,34.3,6.9,23.5,27.4,6.9
20,3,91,0.38,0.347,0.033,31.3,13,24.4,18.3,6.9
16,1,5,0.2562,0.2343,0.0219,38.3,7.1,10.6,31.2,7.1
16,3,4,0.2978,0.2277,0.0701,37.5,7.2,17.1,30.3,7.2
16,4,10,0.2353,0.2162,0.0191,32.8,7.3,9.4,25.5,7.3
20,4,127,0.335,0.323,0.012,28.8,8.7,21.4,20.1,7.4
20,3,97,0.365,0.308,0.057,33,12.7,25.5,20.3,7.5
20,3,90,0.366,0.327,0.039,31.4,11.1,23.8,20.3,7.6
