Time_s   F0_Hz
0.174113   173.991890
0.181613   170.888783
0.189113   172.574997
0.196613   174.050981
0.204113   173.712584
0.211613   173.222653
0.219113   171.864834
0.226613   170.715520
0.234113   168.509684
0.241613   164.889745
0.249113   159.445752
0.256613   157.062902
0.264113   152.921046
0.271613   147.572091
0.279113   140.941129
0.286613   134.256200
0.294113   128.079441
0.301613   121.091552
0.309113   120.929756
0.316613   116.778027
0.324113   116.097142
0.331613   114.732170
0.339113   114.492349
